
[Epoch #0: Batch 7/0] Train loss: 39.785671, Misclassified: [10/0]
[Epoch #0: Batch 7/1] Train loss: 88.656600, Misclassified: [10/1]
[Epoch #0: Batch 7/2] Train loss: 40.639524, Misclassified: [10/0]
[Epoch #0: Batch 7/3] Train loss: 27.493217, Misclassified: [10/1]
[Epoch #0: Batch 7/4] Train loss: 21.309314, Misclassified: [10/0]
[Epoch #0: Batch 7/5] Train loss: 16.786607, Misclassified: [10/1]
[Epoch #0: Batch 7/6] Train loss: 25.004777, Misclassified: [10/0]
[Epoch #0: Batch 7/0] Validation loss: 13.482590, Misclassified: [15/4]
[Epoch #1: Batch 7/0] Train loss: 12.938925, Misclassified: [10/1]
[Epoch #1: Batch 7/1] Train loss: 12.151597, Misclassified: [10/1]
[Epoch #1: Batch 7/2] Train loss: 9.901892, Misclassified: [10/1]
[Epoch #1: Batch 7/3] Train loss: 9.372967, Misclassified: [10/2]
[Epoch #1: Batch 7/4] Train loss: 9.589858, Misclassified: [10/1]
[Epoch #1: Batch 7/5] Train loss: 7.912995, Misclassified: [10/2]
[Epoch #1: Batch 7/6] Train loss: 6.600479, Misclassified: [10/1]
[Epoch #1: Batch 7/0] Validation loss: 5.923860, Misclassified: [15/1]
[Epoch #2: Batch 7/0] Train loss: 8.174123, Misclassified: [10/0]
[Epoch #2: Batch 7/1] Train loss: 5.420240, Misclassified: [10/0]
[Epoch #2: Batch 7/2] Train loss: 6.059581, Misclassified: [10/1]
[Epoch #2: Batch 7/3] Train loss: 5.262703, Misclassified: [10/0]
[Epoch #2: Batch 7/4] Train loss: 4.617206, Misclassified: [10/0]
[Epoch #2: Batch 7/5] Train loss: 4.606523, Misclassified: [10/0]
[Epoch #2: Batch 7/6] Train loss: 3.987590, Misclassified: [10/1]
[Epoch #2: Batch 7/0] Validation loss: 3.246859, Misclassified: [15/2]
[Epoch #3: Batch 7/0] Train loss: 3.458528, Misclassified: [10/3]
[Epoch #3: Batch 7/1] Train loss: 3.536601, Misclassified: [10/2]
[Epoch #3: Batch 7/2] Train loss: 3.697291, Misclassified: [10/0]
[Epoch #3: Batch 7/3] Train loss: 3.425042, Misclassified: [10/2]
[Epoch #3: Batch 7/4] Train loss: 2.911634, Misclassified: [10/0]
[Epoch #3: Batch 7/5] Train loss: 3.046435, Misclassified: [10/0]
[Epoch #3: Batch 7/6] Train loss: 2.388124, Misclassified: [10/2]
[Epoch #3: Batch 7/0] Validation loss: 2.431974, Misclassified: [15/2]
[Epoch #4: Batch 7/0] Train loss: 2.838570, Misclassified: [10/0]
[Epoch #4: Batch 7/1] Train loss: 2.523937, Misclassified: [10/0]
[Epoch #4: Batch 7/2] Train loss: 1.846277, Misclassified: [10/3]
[Epoch #4: Batch 7/3] Train loss: 1.918763, Misclassified: [10/2]
[Epoch #4: Batch 7/4] Train loss: 2.024275, Misclassified: [10/2]
[Epoch #4: Batch 7/5] Train loss: 2.345132, Misclassified: [10/0]
[Epoch #4: Batch 7/6] Train loss: 2.121193, Misclassified: [10/1]
[Epoch #4: Batch 7/0] Validation loss: 1.738981, Misclassified: [15/2]
[Epoch #5: Batch 7/0] Train loss: 1.524395, Misclassified: [10/2]
[Epoch #5: Batch 7/1] Train loss: 1.909696, Misclassified: [10/0]
[Epoch #5: Batch 7/2] Train loss: 1.974009, Misclassified: [10/0]
[Epoch #5: Batch 7/3] Train loss: 1.537289, Misclassified: [10/2]
[Epoch #5: Batch 7/4] Train loss: 1.714264, Misclassified: [10/1]
[Epoch #5: Batch 7/5] Train loss: 1.658148, Misclassified: [10/1]
[Epoch #5: Batch 7/6] Train loss: 1.894621, Misclassified: [10/0]
[Epoch #5: Batch 7/0] Validation loss: 1.738872, Misclassified: [15/1]
[Epoch #6: Batch 7/0] Train loss: 1.531097, Misclassified: [10/2]
