
[Epoch #0: Batch 7/0] Train loss: 1.816080, Misclassified: [10/0]
[Epoch #0: Batch 7/1] Train loss: 2.743156, Misclassified: [10/1]
[Epoch #0: Batch 7/2] Train loss: 1.877368, Misclassified: [10/0]
[Epoch #0: Batch 7/3] Train loss: 1.588251, Misclassified: [10/1]
[Epoch #0: Batch 7/4] Train loss: 1.649767, Misclassified: [10/0]
[Epoch #0: Batch 7/5] Train loss: 1.615289, Misclassified: [10/1]
[Epoch #0: Batch 7/6] Train loss: 1.486871, Misclassified: [10/0]
[Epoch #0: Batch 7/0] Validation loss: 1.213249, Misclassified: [15/4]
[Epoch #1: Batch 7/0] Train loss: 1.511073, Misclassified: [10/1]
[Epoch #1: Batch 7/1] Train loss: 1.402902, Misclassified: [10/1]
[Epoch #1: Batch 7/2] Train loss: 1.487495, Misclassified: [10/1]
[Epoch #1: Batch 7/3] Train loss: 1.121117, Misclassified: [10/2]
[Epoch #1: Batch 7/4] Train loss: 1.337880, Misclassified: [10/1]
[Epoch #1: Batch 7/5] Train loss: 1.248557, Misclassified: [10/2]
[Epoch #1: Batch 7/6] Train loss: 1.305655, Misclassified: [10/1]
[Epoch #1: Batch 7/0] Validation loss: 1.464044, Misclassified: [15/1]
[Epoch #2: Batch 7/0] Train loss: 1.445619, Misclassified: [10/0]
[Epoch #2: Batch 7/1] Train loss: 1.308238, Misclassified: [10/0]
[Epoch #2: Batch 7/2] Train loss: 1.423958, Misclassified: [10/1]
[Epoch #2: Batch 7/3] Train loss: 1.460897, Misclassified: [10/0]
[Epoch #2: Batch 7/4] Train loss: 1.372424, Misclassified: [10/0]
