
[Epoch #0: Batch 7/0] Train loss: 0.094924, Misclassified: [10/0]
[Epoch #0: Batch 7/1] Train loss: 0.216251, Misclassified: [10/1]
[Epoch #0: Batch 7/2] Train loss: 0.090300, Misclassified: [10/0]
[Epoch #0: Batch 7/3] Train loss: 0.062798, Misclassified: [10/1]
[Epoch #0: Batch 7/4] Train loss: 0.049018, Misclassified: [10/0]
[Epoch #0: Batch 7/5] Train loss: 0.036844, Misclassified: [10/1]
[Epoch #0: Batch 7/6] Train loss: 0.065228, Misclassified: [10/0]
[Epoch #0: Batch 7/0] Validation loss: 0.027227, Misclassified: [15/4]
[Epoch #1: Batch 7/0] Train loss: 0.027521, Misclassified: [10/1]
[Epoch #1: Batch 7/1] Train loss: 0.025455, Misclassified: [10/1]
[Epoch #1: Batch 7/2] Train loss: 0.020465, Misclassified: [10/1]
[Epoch #1: Batch 7/3] Train loss: 0.021336, Misclassified: [10/2]
[Epoch #1: Batch 7/4] Train loss: 0.017661, Misclassified: [10/1]
[Epoch #1: Batch 7/5] Train loss: 0.016449, Misclassified: [10/2]
[Epoch #1: Batch 7/6] Train loss: 0.014850, Misclassified: [10/1]
[Epoch #1: Batch 7/0] Validation loss: 0.012787, Misclassified: [15/1]
[Epoch #2: Batch 7/0] Train loss: 0.012277, Misclassified: [10/0]
[Epoch #2: Batch 7/1] Train loss: 0.012165, Misclassified: [10/0]
[Epoch #2: Batch 7/2] Train loss: 0.009060, Misclassified: [10/1]
[Epoch #2: Batch 7/3] Train loss: 0.008548, Misclassified: [10/0]
[Epoch #2: Batch 7/4] Train loss: 0.007591, Misclassified: [10/0]
[Epoch #2: Batch 7/5] Train loss: 0.006272, Misclassified: [10/0]
[Epoch #2: Batch 7/6] Train loss: 0.006648, Misclassified: [10/1]
[Epoch #2: Batch 7/0] Validation loss: 0.004646, Misclassified: [15/2]
[Epoch #3: Batch 7/0] Train loss: 0.005007, Misclassified: [10/3]
[Epoch #3: Batch 7/1] Train loss: 0.005331, Misclassified: [10/2]
[Epoch #3: Batch 7/2] Train loss: 0.004724, Misclassified: [10/0]
[Epoch #3: Batch 7/3] Train loss: 0.003831, Misclassified: [10/2]
[Epoch #3: Batch 7/4] Train loss: 0.003174, Misclassified: [10/0]
[Epoch #3: Batch 7/5] Train loss: 0.003088, Misclassified: [10/0]
[Epoch #3: Batch 7/6] Train loss: 0.002359, Misclassified: [10/2]
[Epoch #3: Batch 7/0] Validation loss: 0.001735, Misclassified: [15/2]
[Epoch #4: Batch 7/0] Train loss: 0.002056, Misclassified: [10/0]
[Epoch #4: Batch 7/1] Train loss: 0.001860, Misclassified: [10/0]
[Epoch #4: Batch 7/2] Train loss: 0.001998, Misclassified: [10/3]
[Epoch #4: Batch 7/3] Train loss: 0.001775, Misclassified: [10/2]
[Epoch #4: Batch 7/4] Train loss: 0.001617, Misclassified: [10/2]
[Epoch #4: Batch 7/5] Train loss: 0.001527, Misclassified: [10/0]
[Epoch #4: Batch 7/6] Train loss: 0.001285, Misclassified: [10/1]
[Epoch #4: Batch 7/0] Validation loss: 0.001005, Misclassified: [15/2]
[Epoch #5: Batch 7/0] Train loss: 0.001260, Misclassified: [10/2]
[Epoch #5: Batch 7/1] Train loss: 0.000995, Misclassified: [10/0]
[Epoch #5: Batch 7/2] Train loss: 0.000972, Misclassified: [10/0]
[Epoch #5: Batch 7/3] Train loss: 0.001021, Misclassified: [10/2]
[Epoch #5: Batch 7/4] Train loss: 0.000856, Misclassified: [10/1]
[Epoch #5: Batch 7/5] Train loss: 0.000835, Misclassified: [10/1]
[Epoch #5: Batch 7/6] Train loss: 0.000798, Misclassified: [10/0]
[Epoch #5: Batch 7/0] Validation loss: 0.000606, Misclassified: [15/1]
[Epoch #6: Batch 7/0] Train loss: 0.000781, Misclassified: [10/2]
[Epoch #6: Batch 7/1] Train loss: 0.000620, Misclassified: [10/0]
[Epoch #6: Batch 7/2] Train loss: 0.000685, Misclassified: [10/0]
[Epoch #6: Batch 7/3] Train loss: 0.000631, Misclassified: [10/0]
[Epoch #6: Batch 7/4] Train loss: 0.000559, Misclassified: [10/2]
[Epoch #6: Batch 7/5] Train loss: 0.000593, Misclassified: [10/1]
[Epoch #6: Batch 7/6] Train loss: 0.000519, Misclassified: [10/2]
[Epoch #6: Batch 7/0] Validation loss: 0.000447, Misclassified: [15/4]
[Epoch #7: Batch 7/0] Train loss: 0.000508, Misclassified: [10/1]
[Epoch #7: Batch 7/1] Train loss: 0.000529, Misclassified: [10/1]
[Epoch #7: Batch 7/2] Train loss: 0.000482, Misclassified: [10/0]
[Epoch #7: Batch 7/3] Train loss: 0.000528, Misclassified: [10/0]
[Epoch #7: Batch 7/4] Train loss: 0.000440, Misclassified: [10/0]
[Epoch #7: Batch 7/5] Train loss: 0.000513, Misclassified: [10/1]
[Epoch #7: Batch 7/6] Train loss: 0.000421, Misclassified: [10/1]
[Epoch #7: Batch 7/0] Validation loss: 0.000378, Misclassified: [15/3]
[Epoch #8: Batch 7/0] Train loss: 0.000443, Misclassified: [10/1]
[Epoch #8: Batch 7/1] Train loss: 0.000424, Misclassified: [10/1]
[Epoch #8: Batch 7/2] Train loss: 0.000461, Misclassified: [10/1]
[Epoch #8: Batch 7/3] Train loss: 0.000391, Misclassified: [10/0]
[Epoch #8: Batch 7/4] Train loss: 0.000486, Misclassified: [10/0]
[Epoch #8: Batch 7/5] Train loss: 0.000393, Misclassified: [10/1]
[Epoch #8: Batch 7/6] Train loss: 0.000501, Misclassified: [10/1]
[Epoch #8: Batch 7/0] Validation loss: 0.000304, Misclassified: [15/1]
[Epoch #9: Batch 7/0] Train loss: 0.000417, Misclassified: [10/2]
[Epoch #9: Batch 7/1] Train loss: 0.000407, Misclassified: [10/1]
[Epoch #9: Batch 7/2] Train loss: 0.000421, Misclassified: [10/0]
[Epoch #9: Batch 7/3] Train loss: 0.000363, Misclassified: [10/2]
[Epoch #9: Batch 7/4] Train loss: 0.000465, Misclassified: [10/0]
[Epoch #9: Batch 7/5] Train loss: 0.000360, Misclassified: [10/2]
