
[Epoch #0: Batch 7/0] Train loss: 1.816080, Misclassified: [10/0]
[Epoch #0: Batch 7/1] Train loss: 2.743156, Misclassified: [10/1]
[Epoch #0: Batch 7/2] Train loss: 1.877368, Misclassified: [10/0]
[Epoch #0: Batch 7/3] Train loss: 1.588251, Misclassified: [10/1]
[Epoch #0: Batch 7/4] Train loss: 1.649767, Misclassified: [10/0]
[Epoch #0: Batch 7/5] Train loss: 1.615289, Misclassified: [10/1]
[Epoch #0: Batch 7/6] Train loss: 1.486871, Misclassified: [10/0]
[Epoch #0: Batch 7/0] Validation loss: 1.213249, Misclassified: [15/4]
[Epoch #1: Batch 7/0] Train loss: 1.511073, Misclassified: [10/1]
[Epoch #1: Batch 7/1] Train loss: 1.402902, Misclassified: [10/1]
[Epoch #1: Batch 7/2] Train loss: 1.487495, Misclassified: [10/1]
[Epoch #1: Batch 7/3] Train loss: 1.121117, Misclassified: [10/2]
[Epoch #1: Batch 7/4] Train loss: 1.337880, Misclassified: [10/1]
[Epoch #1: Batch 7/5] Train loss: 1.248557, Misclassified: [10/2]
[Epoch #1: Batch 7/6] Train loss: 1.305655, Misclassified: [10/1]
[Epoch #1: Batch 7/0] Validation loss: 1.464044, Misclassified: [15/1]
[Epoch #2: Batch 7/0] Train loss: 1.445619, Misclassified: [10/0]
[Epoch #2: Batch 7/1] Train loss: 1.308238, Misclassified: [10/0]
[Epoch #2: Batch 7/2] Train loss: 1.423958, Misclassified: [10/1]
[Epoch #2: Batch 7/3] Train loss: 1.460897, Misclassified: [10/0]
[Epoch #2: Batch 7/4] Train loss: 1.372424, Misclassified: [10/0]
[Epoch #2: Batch 7/5] Train loss: 1.447903, Misclassified: [10/0]
[Epoch #2: Batch 7/6] Train loss: 1.270332, Misclassified: [10/1]
[Epoch #2: Batch 7/0] Validation loss: 1.387598, Misclassified: [15/2]
[Epoch #3: Batch 7/0] Train loss: 0.984086, Misclassified: [10/3]
[Epoch #3: Batch 7/1] Train loss: 1.032940, Misclassified: [10/2]
[Epoch #3: Batch 7/2] Train loss: 1.423698, Misclassified: [10/0]
[Epoch #3: Batch 7/3] Train loss: 1.226030, Misclassified: [10/2]
[Epoch #3: Batch 7/4] Train loss: 1.371237, Misclassified: [10/0]
[Epoch #3: Batch 7/5] Train loss: 1.462300, Misclassified: [10/0]
[Epoch #3: Batch 7/6] Train loss: 1.028564, Misclassified: [10/2]
[Epoch #3: Batch 7/0] Validation loss: 1.331833, Misclassified: [15/2]
[Epoch #4: Batch 7/0] Train loss: 1.347571, Misclassified: [10/0]
[Epoch #4: Batch 7/1] Train loss: 1.425018, Misclassified: [10/0]
[Epoch #4: Batch 7/2] Train loss: 0.941542, Misclassified: [10/3]
[Epoch #4: Batch 7/3] Train loss: 1.228467, Misclassified: [10/2]
[Epoch #4: Batch 7/4] Train loss: 1.307797, Misclassified: [10/2]
[Epoch #4: Batch 7/5] Train loss: 1.585171, Misclassified: [10/0]
[Epoch #4: Batch 7/6] Train loss: 1.461544, Misclassified: [10/1]
[Epoch #4: Batch 7/0] Validation loss: 1.335524, Misclassified: [15/2]
[Epoch #5: Batch 7/0] Train loss: 1.042149, Misclassified: [10/2]
[Epoch #5: Batch 7/1] Train loss: 1.367098, Misclassified: [10/0]
[Epoch #5: Batch 7/2] Train loss: 1.498676, Misclassified: [10/0]
[Epoch #5: Batch 7/3] Train loss: 1.105392, Misclassified: [10/2]
[Epoch #5: Batch 7/4] Train loss: 1.341786, Misclassified: [10/1]
[Epoch #5: Batch 7/5] Train loss: 1.250291, Misclassified: [10/1]
[Epoch #5: Batch 7/6] Train loss: 1.528090, Misclassified: [10/0]
[Epoch #5: Batch 7/0] Validation loss: 1.486190, Misclassified: [15/1]
[Epoch #6: Batch 7/0] Train loss: 1.202696, Misclassified: [10/2]
[Epoch #6: Batch 7/1] Train loss: 1.334226, Misclassified: [10/0]
[Epoch #6: Batch 7/2] Train loss: 1.641463, Misclassified: [10/0]
[Epoch #6: Batch 7/3] Train loss: 1.343321, Misclassified: [10/0]
[Epoch #6: Batch 7/4] Train loss: 1.254277, Misclassified: [10/2]
[Epoch #6: Batch 7/5] Train loss: 1.258641, Misclassified: [10/1]
