
[Epoch #0: Batch 3/0] Train loss: 1023.632465, Misclassified: [32/3]
[Epoch #0: Batch 3/1] Train loss: 1207.764367, Misclassified: [32/5]
[Epoch #0: Batch 3/2] Train loss: 1435.327609, Misclassified: [6/1]
[Epoch #0: Batch 3/0] Validation loss: 729.401417, Misclassified: [15/0]
[Epoch #1: Batch 3/0] Train loss: 318.655018, Misclassified: [32/2]
[Epoch #1: Batch 3/1] Train loss: 176.549411, Misclassified: [32/3]
[Epoch #1: Batch 3/2] Train loss: 205.093165, Misclassified: [6/0]
[Epoch #1: Batch 3/0] Validation loss: 84.892680, Misclassified: [15/3]
[Epoch #2: Batch 3/0] Train loss: 55.183116, Misclassified: [32/1]
[Epoch #2: Batch 3/1] Train loss: 45.710370, Misclassified: [32/4]
[Epoch #2: Batch 3/2] Train loss: 40.381661, Misclassified: [6/1]
[Epoch #2: Batch 3/0] Validation loss: 34.827832, Misclassified: [15/4]
[Epoch #3: Batch 3/0] Train loss: 36.051229, Misclassified: [32/3]
[Epoch #3: Batch 3/1] Train loss: 35.948363, Misclassified: [32/4]
[Epoch #3: Batch 3/2] Train loss: 29.970340, Misclassified: [6/1]
[Epoch #3: Batch 3/0] Validation loss: 30.458815, Misclassified: [15/1]
[Epoch #4: Batch 3/0] Train loss: 34.012328, Misclassified: [32/2]
[Epoch #4: Batch 3/1] Train loss: 32.452760, Misclassified: [32/5]
[Epoch #4: Batch 3/2] Train loss: 31.479710, Misclassified: [6/0]
[Epoch #4: Batch 3/0] Validation loss: 35.368928, Misclassified: [15/1]
[Epoch #5: Batch 3/0] Train loss: 31.064437, Misclassified: [32/3]
[Epoch #5: Batch 3/1] Train loss: 27.838707, Misclassified: [32/4]
[Epoch #5: Batch 3/2] Train loss: 44.109698, Misclassified: [6/0]
